sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
NA19185,YR3,60.57,51.77,8.80,55,RU,21278.38,hic,67.68,41.1,17318034,59.52,29.6,99690,R1041,
NA19338,YR3,63.34,42.74,20.60,57.6,RU,24240.26,hic,65.62,35.52,20320790,57.13,38.59,146412,R1041,
NA19391,YR3,65.81,42.91,22.90,60.4,RU,21215.23,hic,61.7,35.36,10915374,64.4,39.61,127623,R1041,
NA19468,YR3,69.6,49.8,19.80,60,RU,24299.79,hic,62.55,35.87,9913617,45.54,24.86,109216,R1041,top up ONT UL being done
NA20752,YR3,73.73,52.43,21.30,65.5,UW,21167.69,hic,205.83,35.27,19023374,66.21,34.73,104610,R1041,
NA20799,YR3,66.91,39.91,27.00,60.9,RU,22012.06,hic,187,36.01,19413978,73.86,38.02,102945,R1041,
NA20805,YR3,58.2,43.6,14.60,53.4,WUSTL,20237.1,hic,56.88,37.41,13386009,56.31,30.97,110908,R1041,
NA20905,YR3,61.31,49.01,12.30,54,UW,20109,hic,35.48,52.06,20998715,65.11,38.07,118644,R1041,
HG00097,YR4,63.7,0,63.70,63.7,UW,20460.84,hic,174.78,36.84,12420586,58.1,26.13,90213,R1041,
HG00106,YR4,57.75,0,57.75,57.75,WUSTL,21504.13,hic,74.72,37.48,14177680,63.59,28.67,91418,R1041,
HG00117,YR4,59.63,0,59.63,59.63,WUSTL,19621.07,hic,70.38,39.64,14591211,69.95,33.25,95524,R1041,
HG00126,YR4,63.8,0,63.80,63.8,UW,21297.22,hic,70.34,45.04,16747362,71.57,38.83,107642,R1041,
HG00128,YR4,66.3,0,66.30,66.3,UW,18095.4,hic,44.66,47.57,13721123,60.45,28.23,93322,R1041,
HG00133,YR4,66,0,66.00,66,UW,23729.57,hic,46.86,54.96,16117026,66.51,35.43,106054,R1041,
HG00146,YR4,72.6,0,72.60,72.6,WUSTL,20251.59,hic,66.24,47.45,18071802,77.56,39.88,107381,R1041,
HG00232,YR4,62.3,0,62.30,62.3,WUSTL,18912.55,hic,57.06,61.31,20080345,92.84,24.57,63664,R1041,top up ONT UL being done
HG00235,YR4,61.6,0,61.60,61.6,RU,20682.46,hic,78.86,41.08,14280975,92.54,37.78,83873,R1041,
HG00243,YR4,56.3,0,56.30,56.3,RU,22366.33,hic,75.46,41.06,14864642,74.95,30.48,82366,R1041,
HG00253,YR4,64.9,0,64.90,64.9,RU,20564.24,hic,64.34,39.75,12525697,80.83,33.97,85790,R1041,
HG00258,YR4,62.39,0,62.39,62.39,UW,18670.93,hic,102.66,38,14598633,49.89,20.51,83011,R1041,top up ONT UL being done
HG00272,YR4,67.8,0,67.80,67.8,UW,22229.64,hic,130.02,49.34,14296173,62.98,24.22,79621,R1041,top up ONT UL being done
HG00290,YR4,63.3,0,63.30,63.3,UW,23415.07,hic,54.7,48.42,18955455,95.27,36.28,78472,R1041,
HG00320,YR4,68.3,0,68.30,68.3,WUSTL,19354.14,hic,75.32,42.72,15670854,78.18,32.15,84509,R1041,
HG00321,YR4,61.2,0,61.20,61.2,WUSTL,19780.72,hic,79.18,60.18,20295363,78.05,26.92,74531,R1041,
HG00329,YR4,62.1,0,62.10,62.1,RU,23468.88,hic,123.48,38.56,14699357,91.39,26.89,64119,R1041,
HG00344,YR4,65.3,0,65.30,65.3,UW,19341.06,hic,57.5,37.28,15691882,51.52,25.17,97986,R1041,
HG00350,YR4,65.8,0,65.80,65.8,UW,18278.2,hic,58.78,51.48,16420109,81.12,30.57,75819,R1041,
HG00662,YR4,57.87,0,57.87,57.87,RU,20642.77,hic,97.66,55.52,14309368,63.06,30.7,97773,R1041,
HG00701,YR4,62.2,0,62.20,62.2,RU,14071.19,hic,104,39.12,12695991,57.06,27.86,97612,R1041,
HG00867,YR4,58.67,0,58.67,58.67,RU,24284.47,hic,90.26,34.52,18459801,70.1,29.17,84511,R1041,
HG01028,YR4,62.23,0,62.23,62.23,UW,17778.04,hic,96.62,51.06,16041033,94.99,35.77,77265,R1041,
HG01048,YR4,64.76,0,64.76,64.76,UW,19889.3,hic,82.74,43.58,10336355,66.03,28.27,91186,R1041,
HG01167,YR4,62.5,0,62.50,62.5,RU,20552.38,hic,60.2,50.27,16985450,67.15,33.65,100231,R1041,
HG01766,YR4,59.16,0,59.16,59.16,UW,19418.58,hic,84.22,34.27,15698723,92.59,40.96,88806,R1041,
